Pantalla_Resolución de pantalla,_resolucion_pixeles,Comunicaciones_Estándar LAN,Sistema operativo_Arquitectura bit,Alimentación_Vatios-hora,_gpu_value,_gpu_price_usd,gpu_series,Pantalla_Formato de imagen,Otras características_Fecha de lanzamiento,Medidas y peso_Diseño,_tiene_webcam,Cámara_Webcam,Comunicaciones_Estándar wifi,Medidas y peso_Altura,Pantalla_Diagonal de la pantalla,Pantalla_Tamaño de la pantalla,_tamano_pantalla_pulgadas,Almacenamiento_Lector óptico,_version_bluetooth,Comunicaciones_Versión Bluetooth,_peso_kg,Medidas y peso_Peso,_serie,_cpu_price_usd,_cpu_value,Procesador_Frecuencia de reloj,Disco duro_Número de discos duros (instalados),Procesador_Nombre en clave del procesador,RAM_Tipo de RAM,Sistema operativo_Sistema operativo,Disco duro_Tipo de disco duro,Procesador_Caché,Procesador_Frecuencia turbo máx.,Medidas y peso_Profundidad,Medidas y peso_Ancho,Gráfica_Memoria gráfica,_cpu_cores,Procesador_Número de núcleos del procesador,gpu_brand,Procesador_Tipo de procesador,_gpu_rank,_gpu_mark,_ssd_gb,Disco duro_Capacidad de memoria SSD,gpu_is_integrated,Gráfica_Tarjeta gráfica,Otras características_Equipamiento,_ram_gb,RAM_Memoria RAM,cpu_family,cpu_brand,_cpu_mark,_cpu_rank,Procesador_Procesador,Procesador_Fabricante del procesador,Tipo de producto,Comunicaciones_Conectividad,_tiene_bluetooth,_tiene_wifi,Tipo,_brand,_precio_num
,,Gigabit-LAN,,38 Wh,,,,16:9,2023.0,con tapa,1.0,0.9 Mpx,,20 mm,"39,624 cm","15,6 pulgadas",15.6,,5.1,Bluetooth 5.1,1.65,"1,65 kg",,,,,,,,,,,,"23,6 cm","35,9 cm",,,,,,,,,,,,"USB-C, webcam, lector de tarjetas",,,,,,,,,Portátil multimedia,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Lenovo,799.49
,,,,50 Wh,,,,16:9,2023.0,con tapa,1.0,integrada,,18 mm,"39,624 cm","15,6 pulgadas",15.6,,,,1.63,"1,63 kg",ASUS Vivobook,,,,,,,,,,,"23,25 cm","36,03 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,,Portátil profesional,"Bluetooth, wifi",1.0,1.0,Laptop,ASUS,671.28
,,Gigabit-LAN,,60 Wh,,,,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,24 mm,"39,624 cm","15,6 pulgadas",15.6,,5.1,Bluetooth 5.1,2.38,"2,38 kg",LOQ,,,,,,,,,,,"25,9 cm",36 cm,,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Lenovo,1312.56
,,,,88 Wh,,,,16:10,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,22 mm,"40,64 cm",16 pulgadas,16.0,,5.2,Bluetooth 5.2,2.1,"2,1 kg",Gigabyte Aero,,,,,,,,,,,"25,5 cm","35,4 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, lector de tarjetas, webcam",,,,,,,,Intel,Portátil gaming,"Bluetooth, wifi",1.0,1.0,Laptop,Gigabyte,2008.0549999999998
,,,,73 Wh,,,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,16 mm,"35,56 cm",14 pulgadas,14.0,,5.3,Bluetooth 5.3,1.5,"1,5 kg",ASUS Republic of Gamers,,,,,,,,,,,22 cm,"31,1 cm",,,,,,,,1000.0,1.000 GB,,,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,,,,,,,Portátil gaming,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,2796.7650000000003
,,Gigabit-LAN,64 Bit,54 Wh,,,,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,15 mm,"39,624 cm","15,6 pulgadas",15.6,,5.3,Bluetooth 5.3,1.55,"1,55 kg",Samsung Galaxy Book,,,,1.0,,,,SSD,,,"22,9 cm","35,7 cm",memoria compartida,,,,,,,,,,,"USB-C, altavoces estéreo, lector de tarjetas, webcam",,,,,,,,Intel,Portátil multimedia,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Samsung,988.0
,,Gigabit-LAN,,60 Wh,,,,16:9,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,25 mm,"39,624 cm","15,6 pulgadas",15.6,,5.1,Bluetooth 5.1,2.4,"2,4 kg",LOQ,,,,,,,,,,,"26,5 cm",36 cm,,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Lenovo,1291.9650000000001
,,,,42 Wh,,,,,,con tapa,1.0,integrada,,17 mm,"39,624 cm","15,6 pulgadas",15.6,,,,1.7,"1,7 kg",ASUS Vivobook,,,,,,,,,,,"23,25 cm","35,97 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,,,"Bluetooth, wifi",1.0,1.0,Laptop,ASUS,681.495
3.840 x 2.400 píxeles,9216000.0,,64 Bit,88 Wh,45.67,589.99,rtx,16:10,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,22 mm,"40,64 cm",16 pulgadas,16.0,,5.2,Bluetooth 5.2,2.1,"2,1 kg",Gigabyte Aero,502.0,48.35,"1,8 GHz",1.0,Raptor Lake-H,DDR5,Windows 11 Home,SSD,24 MB,"4,9 GHz","25,5 cm","35,4 cm",8.192 MB,10.0,10.0,nvidia,Intel Core i7,29.0,26941.0,1000.0,1.000 GB,False,NVIDIA GeForce RTX 4070,"USB-C, altavoces estéreo, lector de tarjetas, webcam",16.0,16 GB RAM,core i7,intel,24274.0,581.0,Intel Core i7-13620H,Intel,Portátil gaming,"wifi, Bluetooth",1.0,1.0,Laptop,Gigabyte,1434.525
,,Gigabit-LAN,,38 Wh,,,,16:9,2021.0,con tapa,1.0,integrada,,20 mm,"39,62 cm","15,6 pulgadas",15.6,,5.0,Bluetooth 5.0,1.7,"1,7 kg",,,,,,,,,,,,"23,6 cm","35,9 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,,Portátil multimedia,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Lenovo,597.9300000000001
1.920 x 1.080 píxeles,2073600.0,Gigabit-LAN,,72 Wh,,,,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,17 mm,"39,624 cm","15,6 pulgadas",15.6,,5.3,Bluetooth 5.3,1.2,"1,2 kg",LG Gram,,,,1.0,Meteor Lake,LPDDR5,,SSD,,,"22,3 cm","35,6 cm",,,,,,,,,,,,"micrófono integrado, USB-C, altavoces estéreo, webcam",,,,,,,,Intel,,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,LG,1723.83
1.920 x 1.200 píxeles,2304000.0,,64 Bit,75 Wh,,,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,15 mm,"35,56 cm",14 pulgadas,14.0,ninguno,5.3,Bluetooth 5.3,1.2,"1,2 kg",ASUS Zenbook,,,"3,3 GHz",1.0,Hawk Point-HS,LPDDR5X,Windows 11 Home,,24 MB,"5,1 GHz",22 cm,"31,2 cm",memoria compartida,8.0,8.0,amd,AMD Ryzen 7,93.0,17350.0,512.0,512 GB,True,AMD Radeon Graphics,"USB-C, altavoces estéreo, webcam, lector de tarjetas",16.0,16 GB RAM,ryzen 7,amd,27059.0,492.0,AMD Ryzen 7 8840HS,AMD,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,963.51
,,Gigabit-LAN,64 Bit,99 Wh,,,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11be,27 mm,"40,64 cm",16 pulgadas,16.0,,5.4,Bluetooth 5.4,2.3,"2,3 kg",Gigabyte Aorus,,,,1.0,,,,SSD,,,"25,4 cm","35,6 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,Intel,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Gigabyte,1980.835
2.560 x 1.664 píxeles,4259840.0,,,"52,6 Wh",,,,,2024.0,con tapa,1.0,integrada,,11 mm,"34,544 cm","13,6 pulgadas",13.6,ninguno,5.3,Bluetooth 5.3,1.24,"1,24 kg",Apple MacBook Air,,,,1.0,,,macOS Sequoia,SSD,,,"21,5 cm","30,4 cm",memoria compartida,8.0,8.0,apple,Apple M,416.0,5523.0,256.0,256 GB,True,Apple M3 Graphics,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",16.0,16 GB RAM,m3,apple,41228.0,260.0,Apple M3,Apple,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Apple,1170.855
,,,,75 Wh,,,,16:10,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,15 mm,"35,56 cm",14 pulgadas,14.0,,5.3,Bluetooth 5.3,1.2,"1,2 kg",ASUS Zenbook,,,,1.0,,,,,,,22 cm,"31,2 cm",memoria compartida,,,,,,,,,,,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,,,,,,,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,1580.4499999999998
1.920 x 1.080 píxeles,2073600.0,,,48 Wh,52.42,239.99,rtx,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,23 mm,"39,624 cm","15,6 pulgadas",15.6,ninguno,5.2,Bluetooth 5.2,2.3,"2,3 kg",ASUS TUF Gaming,,,"3,1 GHz",1.0,Rembrandt-R,DDR5,sin sistema operativo,,16 MB,"4,5 GHz","25,6 cm","35,9 cm",4.096 MB / 4 GB,8.0,8.0,nvidia,AMD Ryzen 7,188.0,12580.0,512.0,512 GB,False,NVIDIA GeForce RTX 3050,"altavoces estéreo, micrófono integrado, USB-C, webcam",16.0,16 GB RAM,ryzen 7,amd,23450.0,613.0,AMD Ryzen 7 7435HS,AMD,Portátil gaming,"LAN, Bluetooth, wifi",1.0,1.0,Laptop,ASUS,683.5
2.880 x 1.800 píxeles,5184000.0,,,73 Wh,45.67,589.99,rtx,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,16 mm,"35,56 cm",14 pulgadas,14.0,ninguno,5.3,Bluetooth 5.3,1.5,"1,5 kg",ASUS Republic of Gamers,,,4 GHz,1.0,Hawk Point-HS,LPDDR5X,sin sistema operativo,,24 MB,"5,2 GHz",22 cm,"31,1 cm",8.192 MB / 8 GB,8.0,8.0,nvidia,AMD Ryzen 9,29.0,26941.0,1000.0,1.000 GB,False,NVIDIA GeForce RTX 4070,"USB-C, altavoces estéreo, webcam, lector de tarjetas",32.0,32 GB RAM,ryzen 9,amd,29830.0,416.0,AMD Ryzen 9 8945HS,AMD,Portátil gaming,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,2302.6400000000003
,,,,70 Wh,,,,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11be,16 mm,"39,624 cm","15,6 pulgadas",15.6,,5.4,Bluetooth 5.4,1.42,"1,42 kg",ASUS Vivobook,,,,1.0,,,,,,,"22,7 cm","35,3 cm",memoria compartida,,,,,,,,,,,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,,,,,,Qualcomm,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,1265.855
