Pantalla_Resolución de pantalla,_resolucion_pixeles,Comunicaciones_Estándar LAN,Sistema operativo_Arquitectura bit,Alimentación_Vatios-hora,_gpu_value,_gpu_price_usd,gpu_series,Pantalla_Formato de imagen,Otras características_Fecha de lanzamiento,Medidas y peso_Diseño,_tiene_webcam,Cámara_Webcam,Comunicaciones_Estándar wifi,Medidas y peso_Altura,Pantalla_Diagonal de la pantalla,Pantalla_Tamaño de la pantalla,_tamano_pantalla_pulgadas,Almacenamiento_Lector óptico,_version_bluetooth,Comunicaciones_Versión Bluetooth,_peso_kg,Medidas y peso_Peso,_serie,_cpu_price_usd,_cpu_value,Procesador_Frecuencia de reloj,Disco duro_Número de discos duros (instalados),Procesador_Nombre en clave del procesador,RAM_Tipo de RAM,Sistema operativo_Sistema operativo,Disco duro_Tipo de disco duro,Procesador_Caché,Procesador_Frecuencia turbo máx.,Medidas y peso_Profundidad,Medidas y peso_Ancho,Gráfica_Memoria gráfica,_cpu_cores,Procesador_Número de núcleos del procesador,gpu_brand,Procesador_Tipo de procesador,_gpu_rank,_gpu_mark,_ssd_gb,Disco duro_Capacidad de memoria SSD,gpu_is_integrated,Gráfica_Tarjeta gráfica,Otras características_Equipamiento,_ram_gb,RAM_Memoria RAM,cpu_family,cpu_brand,_cpu_mark,_cpu_rank,Procesador_Procesador,Procesador_Fabricante del procesador,Tipo de producto,Comunicaciones_Conectividad,_tiene_bluetooth,_tiene_wifi,Tipo,_brand,_precio_num
2.560 x 1.440 píxeles,3686400.0,"2,5-Gbit/s-Ethernet",64 Bit,80 Wh,45.67,589.99,rtx,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,25 mm,"43,942 cm","17,3 pulgadas",17.3,ninguno,5.0,Bluetooth 5.0,2.85,"2,85 kg",PcCom Revolt,485.0,67.71,"1,5 GHz",1.0,Raptor Lake,DDR5,Windows 11 Home,,30 MB,5 GHz,"26,2 cm","39,6 cm",8.192 MB / 8 GB,16.0,16.0,nvidia,Intel Core i7,29.0,26941.0,500.0,500 GB,False,NVIDIA GeForce RTX 4070,"lector de tarjetas, micrófono integrado, webcam, altavoces estéreo, USB-C",32.0,32 GB RAM,core i7,intel,32841.0,353.0,Intel Core i7-13700HX,Intel,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,PcCom,1959.99
2.880 x 1.864 píxeles,5368320.0,,,"66,5 Wh",,,,,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,12 mm,"38,862 cm","15,3 pulgadas",15.3,ninguno,5.3,Bluetooth 5.3,1.51,"1,51 kg",Apple MacBook Air,,,,1.0,,,macOS Sequoia,SSD,,,"23,8 cm",34 cm,memoria compartida,8.0,8.0,apple,Apple M,416.0,5523.0,256.0,256 GB,True,Apple M3 Graphics,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",8.0,8 GB RAM,m3,apple,41228.0,260.0,Apple M3,Apple,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Apple,1801.96
1.920 x 1.080 píxeles,2073600.0,Gigabit-LAN,64 Bit,"53,5 Wh",45.67,589.99,rtx,16:9,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,25 mm,"39,62 cm","15,6 pulgadas",15.6,ninguno,5.2,Bluetooth 5.2,2.25,"2,25 kg",MSI Katana,502.0,48.35,"1,8 GHz",1.0,Raptor Lake-H,DDR5,Windows 11 Home,,24 MB,"4,9 GHz","25,9 cm","35,9 cm",8.192 MB,10.0,10.0,nvidia,Intel Core i7,29.0,26941.0,512.0,512 GB,False,NVIDIA GeForce RTX 4070,"webcam, altavoces estéreo, USB-C",16.0,16 GB RAM,core i7,intel,24274.0,581.0,Intel Core i7-13620H,Intel,Portátil gaming,"LAN, wifi, Bluetooth",1.0,1.0,Laptop,MSI,1818.99
1.920 x 1.080 píxeles,2073600.0,Gigabit-LAN,64 Bit,38 Wh,,,iris,16:9,2023.0,con tapa,1.0,0.9 Mpx,,20 mm,"39,624 cm","15,6 pulgadas",15.6,ninguno,5.1,Bluetooth 5.1,1.65,"1,65 kg",,311.0,66.43,"1,8 GHz",1.0,Alder Lake-P,DDR4,Windows 11 Home,,18 MB,"4,5 GHz","23,6 cm","35,9 cm",memoria compartida,12.0,12.0,intel,Intel Core i5,700.0,2657.0,512.0,512 GB,True,Intel Iris Xe Graphics,"lector de tarjetas, webcam, USB-C",16.0,16 GB RAM,core i5,intel,20659.0,742.0,Intel Core i5-12500H,Intel,Portátil multimedia,"LAN, wifi, Bluetooth",1.0,1.0,Laptop,Lenovo,703.375
1.920 x 1.200 píxeles,2304000.0,,64 Bit,51 Wh,,,,16:10,2023.0,con tapa,1.0,5.0 Mpx,IEEE 802.11ax,20 mm,"35,56 cm",14 pulgadas,14.0,ninguno,5.3,Bluetooth 5.3,1.45,"1,45 kg",HP ZBook,,,,1.0,,DDR5,Windows 11 Professional,SSD,16 MB,"5,1 GHz","22,4 cm","31,6 cm",memoria compartida,8.0,8.0,amd,AMD Ryzen 7,93.0,17350.0,512.0,512 GB,False,AMD Radeon 780M,"webcam, altavoces estéreo, USB-C",16.0,16 GB RAM,ryzen 7,amd,28752.0,442.0,AMD Ryzen 7 Pro 7840HS,AMD,Portátil profesional,"wifi, Bluetooth",1.0,1.0,Laptop,HP,1876.565
,,Gigabit-LAN,,48 Wh,,,,16:9,2019.0,con tapa,,,,20 mm,"35,56 cm",14 pulgadas,14.0,,,,1.6,"1,6 kg",Acer TravelMate,,,,,,,,,,,"23,6 cm","32,8 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, lector de tarjetas",,,,,,,,,Portátil multimedia,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Acer,806.17
2.880 x 1.800 píxeles,5184000.0,,64 Bit,76 Wh,63.3,249.0,,16:10,2024.0,convertible,1.0,2.0 Mpx,IEEE 802.11ax,11 mm,"40,64 cm",16 pulgadas,16.0,,5.3,Bluetooth 5.3,1.26,"1,26 kg",Samsung Galaxy Book,503.0,49.61,"3,8 GHz",1.0,Meteor Lake,,Windows 11 Home,SSD,24 MB,"4,8 GHz","22,3 cm","31,2 cm",memoria compartida,16.0,16.0,intel,Intel Core Ultra 7,119.0,15761.0,1000.0,1.000 GB,True,Intel Arc Graphics,"USB-C, altavoces estéreo, lector de tarjetas, webcam",32.0,32 GB RAM,core ultra 7,intel,24954.0,555.0,Intel Core Ultra 7 155H,Intel,Portátil convertible,"wifi, Bluetooth",1.0,1.0,Laptop,Samsung,2316.4
1.920 x 1.080 píxeles,2073600.0,,64 Bit,42 Wh,63.3,249.0,,16:9,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,20 mm,"39,624 cm","15,6 pulgadas",15.6,ninguno,5.1,Bluetooth 5.1,1.69,"1,69 kg",ASUS ExpertBook,469.0,30.63,"1,2 GHz",1.0,Raptor Lake-U,DDR4,Windows 11 Professional,,12 MB,5 GHz,"23,3 cm","36,2 cm",memoria compartida,10.0,10.0,intel,Intel Core i7,119.0,15761.0,512.0,512 GB,True,Intel UHD Graphics,"USB-C, lector de tarjetas, webcam",16.0,16 GB RAM,core i7,intel,14365.0,1072.0,Intel Core i7-1355U,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,993.465
,,,,49 Wh,,,,16:9,2021.0,con tapa,1.0,integrada,IEEE 802.11ax,15 mm,"39,62 cm","15,6 pulgadas",15.6,,5.1,Bluetooth 5.1,1.5,"1,5 kg",Dell Latitude,,,,,Tiger Lake UP3,,Windows 10 Professional,,,,"21,6 cm",34 cm,,,,,,,,,,,,webcam,,,,,,,,Intel,Portátil profesional,"Bluetooth, wifi",1.0,1.0,Laptop,Dell,2100.13
1.920 x 1.080 píxeles,2073600.0,,64 Bit,80 Wh,,,iris,16:9,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,17 mm,"39,37 cm","15,5 pulgadas",15.5,ninguno,5.1,Bluetooth 5.1,1.1,"1,1 kg",LG Gram,480.0,39.09,"2,2 GHz",1.0,Raptor Lake,LPDDR5,Windows 11 Home,SSD,18 MB,5 GHz,"22,2 cm","35,6 cm",memoria compartida,12.0,12.0,intel,Intel Core i7,700.0,2657.0,1000.0,1.000 GB,True,Intel Iris Xe Graphics,"USB-C, altavoces estéreo, lector de tarjetas, webcam",32.0,32 GB RAM,core i7,intel,18763.0,844.0,Intel Core i7-1360P,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,LG,1777.72
2.560 x 1.440 píxeles,3686400.0,"2,5-Gbit/s-Ethernet",64 Bit,80 Wh,45.67,589.99,rtx,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,25 mm,"43,942 cm","17,3 pulgadas",17.3,ninguno,5.0,Bluetooth 5.0,2.85,"2,85 kg",PcCom Revolt,485.0,67.71,"1,5 GHz",1.0,Raptor Lake,DDR5,Windows 11 Home,PCIe SSD,30 MB,5 GHz,"26,2 cm","39,6 cm",8.192 MB / 8 GB,16.0,16.0,nvidia,Intel Core i7,29.0,26941.0,1000.0,1.000 GB,False,NVIDIA GeForce RTX 4070,"lector de tarjetas, micrófono integrado, webcam, altavoces estéreo, USB-C",16.0,16 GB RAM,core i7,intel,32841.0,353.0,Intel Core i7-13700HX,Intel,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,PcCom,1929.99
2.560 x 1.664 píxeles,4259840.0,,,"52,6 Wh",,,,,2024.0,con tapa,1.0,integrada,,11 mm,"34,544 cm","13,6 pulgadas",13.6,ninguno,5.3,Bluetooth 5.3,1.24,"1,24 kg",Apple MacBook Air,,,,1.0,,,macOS Sequoia,SSD,,,"21,5 cm","30,4 cm",memoria compartida,8.0,8.0,apple,Apple M,416.0,5523.0,256.0,256 GB,True,Apple M3 Graphics,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",16.0,16 GB RAM,m3,apple,41228.0,260.0,Apple M3,Apple,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Apple,1342.23
1.920 x 1.080 píxeles,2073600.0,,64 Bit,50 Wh,,,iris,16:9,2019.0,con tapa,1.0,integrada,,16 mm,"35,56 cm",14 pulgadas,14.0,ninguno,5.0,Bluetooth 5.0,1.29,"1,29 kg",MSI Prestige,482.0,42.14,"1,3 GHz",1.0,Alder Lake-P,LPDDR4X,Windows 11 Professional,SSD,24 MB,"4,8 GHz","21,5 cm","31,9 cm",memoria compartida,14.0,14.0,intel,Intel Core i7,700.0,2657.0,512.0,512 GB,True,Intel Iris Xe Graphics,"altavoces estéreo, lector de tarjetas, webcam",16.0,16 GB RAM,core i7,intel,20313.0,768.0,Intel Core i7-1280P,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,MSI,1436.0
,,,,"52,5 Wh",,,,16:10,2022.0,con tapa,1.0,integrada,IEEE 802.11ax,23 mm,"40,64 cm",16 pulgadas,16.0,,5.2,Bluetooth 5.2,1.68,"1,68 kg",Lenovo ThinkPad,,,,,,,,,,,"25,5 cm","36,1 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, lector de tarjetas, webcam",,,,,,,,,Portátil profesional,"wifi, Bluetooth",1.0,1.0,Laptop,Lenovo,2147.115
1.920 x 1.200 píxeles,2304000.0,,64 Bit,59 Wh,63.3,249.0,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,19 mm,"40,64 cm",16 pulgadas,16.0,ninguno,5.3,Bluetooth 5.3,1.77,"1,77 kg",HP Pavilion,490.0,33.61,"3,8 GHz",1.0,Meteor Lake,LPDDR5X,Windows 11 Home,,12 MB,"4,8 GHz","25,5 cm","35,8 cm",memoria compartida,12.0,12.0,intel,Intel Core Ultra 7,119.0,15761.0,512.0,512 GB,True,Intel Arc Graphics,"USB-C, altavoces estéreo, lector de tarjetas, webcam",16.0,16 GB RAM,core ultra 7,intel,16471.0,961.0,Intel Core Ultra 7 155U,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,HP,984.0
2.560 x 1.600 píxeles,4096000.0,Gigabit-LAN,64 Bit,90 Wh,22.99,1498.07,rtx,16:10,2024.0,con tapa,1.0,integrada,,29 mm,"45,72 cm",18 pulgadas,18.0,,5.3,Bluetooth 5.3,3.3,"3,3 kg",Acer Predator,679.0,66.78,"1,6 GHz",1.0,Raptor Lake-HX Refresh,DDR5,Windows 11 Home,SSD,36 MB,"5,6 GHz","31,2 cm","40,4 cm",12.288 MB / 12 GB,24.0,24.0,nvidia,Intel Core i9,5.0,34435.0,2000.0,2.000 GB,False,NVIDIA GeForce RTX 4080,"USB-C, altavoces estéreo, webcam, lector de tarjetas",32.0,32 GB RAM,core i9,intel,45344.0,227.0,Intel Core i9-14900HX,Intel,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Acer,3658.18
,,Gigabit-LAN,64 Bit,54 Wh,,,,16:9,2022.0,con tapa,1.0,integrada,IEEE 802.11ax,18 mm,"35,56 cm",14 pulgadas,14.0,,5.1,Bluetooth 5.1,1.5,"1,5 kg",Samsung Galaxy Book,,,,,Alder Lake-P,,Windows 11 Professional,SSD,,,"21,4 cm","32,6 cm",,12.0,12.0,,,,,,,,,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,,,,,,Intel,Portátil profesional,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Samsung,1797.645
,,,,96 Wh,,,,16:10,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,18 mm,"40,64 cm",16 pulgadas,16.0,,5.0,Bluetooth 5.0,2.4,"2,4 kg",ASUS Zenbook,,,,,,,,SSD,,,"25,1 cm","35,5 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, webcam, lector de tarjetas",,,,,,,,,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,4760.65
1.920 x 1.080 píxeles,2073600.0,,64 Bit,54 Wh,,,iris,16:9,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,19 mm,"35,56 cm",14 pulgadas,14.0,,,,1.39,"1,39 kg",Dell Latitude,426.0,33.42,"1,3 GHz",1.0,Raptor Lake-U,DDR4,Windows 11 Professional,SSD,12 MB,"5,2 GHz","21,2 cm","32,1 cm",memoria compartida,10.0,10.0,intel,Intel Core i7,700.0,2657.0,512.0,512 GB,True,Intel Iris Xe Graphics,"webcam, USB-C",16.0,16 GB RAM,core i7,intel,14236.0,1088.0,Intel Core i7-1365U,Intel,Portátil profesional,"wifi, Bluetooth",1.0,1.0,Laptop,Dell,1197.56
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Laptop,LG,1648.005
3.456 x 2.234 píxeles,7720704.0,,,100 Wh,,,,,2024.0,con tapa,1.0,12.0 Megapixel,IEEE 802.11ax,17 mm,"41,148 cm","16,2 pulgadas",16.2,ninguno,5.3,Bluetooth 5.3,2.14,"2,14 kg",Apple MacBook Pro,,,,1.0,,,macOS Sequoia,SSD,,,"24,8 cm","35,6 cm",memoria compartida,14.0,14.0,apple,Apple M,416.0,5523.0,1000.0,1.000 GB,True,Apple M4 Max Graphics,"USB-C, altavoces estéreo, Touch ID, lector de tarjetas, webcam, Force Touch Trackpad",36.0,36 GB RAM,m4,apple,43759.0,237.0,Apple M4 Max,Apple,Portátil multimedia,"Bluetooth, wifi",1.0,1.0,Laptop,Apple,4832.21
2.560 x 1.600 píxeles,4096000.0,,64 Bit,90 Wh,45.67,589.99,rtx,16:10,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,19 mm,"43,18 cm",17 pulgadas,17.0,,5.3,Bluetooth 5.3,2.49,"2,49 kg",MSI Creator,668.0,69.83,"1,6 GHz",1.0,Raptor Lake,DDR5,Windows 11 Professional,SSD,36 MB,"5,6 GHz",26 cm,"38,2 cm",8.192 MB / 8 GB,24.0,24.0,nvidia,Intel Core i9,29.0,26941.0,1000.0,1.000 GB,False,NVIDIA GeForce RTX 4070,"USB-C, altavoces estéreo, webcam, lector de tarjetas",32.0,32 GB RAM,core i9,intel,46648.0,208.0,Intel Core i9-13980HX,Intel,Portátil profesional,"wifi, Bluetooth",1.0,1.0,Laptop,MSI,2965.95
1.920 x 1.080 píxeles,2073600.0,Gigabit-LAN,64 Bit,35 Wh,,,iris,16:9,2022.0,con tapa,1.0,integrada,IEEE 802.11ac,20 mm,"39,62 cm","15,6 pulgadas",15.6,ninguno,5.0,Bluetooth 5.0,1.7,"1,7 kg",,426.0,31.19,"1,2 GHz",1.0,Alder Lake-P,DDR4,Windows 11 Home,,12 MB,"4,7 GHz","23,6 cm","35,9 cm",memoria compartida,10.0,10.0,intel,Intel Core i7,700.0,2657.0,512.0,512 GB,True,Intel Iris Xe Graphics,"lector de tarjetas, webcam, USB-C",16.0,16 GB RAM,core i7,intel,13288.0,1142.0,Intel Core i7-1255U,Intel,Portátil multimedia,"LAN, wifi, Bluetooth",1.0,1.0,Laptop,Lenovo,931.595
,,,,56 Wh,,,,16:10,2024.0,con tapa,1.0,5.0 Mpx,IEEE 802.11ax,16 mm,"35,56 cm",14 pulgadas,14.0,,5.3,Bluetooth 5.3,1.42,"1,42 kg",HP EliteBook,,,,,,,Windows 11 Professional,SSD,,,"22,5 cm","31,6 cm",memoria compartida,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,AMD,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,HP,1802.7150000000001
1.920 x 1.200 píxeles,2304000.0,Gigabit-LAN,,65 Wh,,,,16:10,2024.0,con tapa,1.0,integrada,,22 mm,"35,56 cm",14 pulgadas,14.0,,5.3,Bluetooth 5.3,1.5,"1,5 kg",Acer TravelMate,,,,1.0,,,Windows 11 Professional,SSD,12 MB,,"22,9 cm","31,9 cm",memoria compartida,12.0,12.0,,,,,,,,,"USB-C, altavoces estéreo, lector de tarjetas, webcam",,,,,,,,Intel,Portátil convertible,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Acer,1563.755
,,,,42 Wh,,,,16:9,2021.0,con tapa,1.0,integrada,IEEE 802.11ac,19 mm,"39,624 cm","15,6 pulgadas",15.6,,4.1,Bluetooth 4.1,1.63,"1,63 kg",ASUS Vivobook,,,,,,,,,,,"23,6 cm",36 cm,,,,,,,,,,,,"altavoces estéreo, webcam, lector de tarjetas",,,,,,,,,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,ASUS,371.54999999999995
,,,,54 Wh,,,,16:9,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,21 mm,"39,624 cm","15,6 pulgadas",15.6,,,,1.61,"1,61 kg",Dell Latitude,,,,,,,,,,,"23,3 cm","35,8 cm",,,,,,,,,,,,"USB-C, lector de tarjetas, webcam",,,,,,,,,Portátil profesional,"wifi, Bluetooth",1.0,1.0,Laptop,Dell,1459.575
2.560 x 1.600 píxeles,4096000.0,,64 Bit,90 Wh,63.3,249.0,,16:10,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,15 mm,"43,942 cm","17,3 pulgadas",17.3,,5.3,Bluetooth 5.3,1.38,"1,38 kg",LG Gram,503.0,49.61,"3,8 GHz",1.0,Meteor Lake,,Windows 11 Home,SSD,24 MB,"4,8 GHz","26,5 cm","37,9 cm",memoria compartida,16.0,16.0,intel,Intel Core Ultra 7,119.0,15761.0,2000.0,2.000 GB,True,Intel Arc Graphics,"USB-C, altavoces estéreo, webcam",32.0,32 GB RAM,core ultra 7,intel,24954.0,555.0,Intel Core Ultra 7 155H,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,LG,2696.45
2.880 x 1.864 píxeles,5368320.0,,,"66,5 Wh",,,,,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,12 mm,"38,862 cm","15,3 pulgadas",15.3,ninguno,5.3,Bluetooth 5.3,1.51,"1,51 kg",Apple MacBook Air,,,,1.0,,,macOS Sequoia,SSD,,,"23,8 cm",34 cm,memoria compartida,8.0,8.0,apple,Apple M,416.0,5523.0,512.0,512 GB,True,Apple M3 Graphics,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",16.0,16 GB RAM,m3,apple,41228.0,260.0,Apple M3,Apple,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Apple,2421.4700000000003
1.920 x 1.080 píxeles,2073600.0,Gigabit-LAN,,"53,5 Wh",,,rtx,16:9,,con tapa,1.0,integrada,IEEE 802.11ax,23 mm,"39,624 cm","15,6 pulgadas",15.6,ninguno,5.3,Bluetooth 5.3,1.98,"1,98 kg",Cyborg,502.0,52.69,"1,8 GHz",1.0,Raptor Lake-H,DDR5,Free DOS,,24 MB,5 GHz,25 cm,"35,9 cm",6.144 MB / 6 GB,14.0,14.0,nvidia,Intel Core i7,26.0,27468.0,1000.0,1.000 GB,False,NVIDIA GeForce RTX 4050,"USB-C, altavoces estéreo, webcam",16.0,16 GB RAM,core i7,intel,26452.0,511.0,Intel Core i7-13700H,Intel,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,MSI,1184.81
,,,,"52,5 Wh",,,,16:10,2023.0,con tapa,1.0,5.0 Mpx,IEEE 802.11ax,21 mm,"40,64 cm",16 pulgadas,16.0,,5.1,Bluetooth 5.1,1.68,"1,68 kg",Lenovo ThinkPad,,,,,,,,,,,"25,6 cm","36,2 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,,Portátil multimedia,"Bluetooth, wifi",1.0,1.0,Laptop,Lenovo,1772.4049999999997
1.920 x 1.080 píxeles,2073600.0,,64 Bit,41 Wh,,,iris,16:9,,con tapa,,,IEEE 802.11ax,17 mm,"35,56 cm",14 pulgadas,14.0,ninguno,5.3,Bluetooth 5.3,1.36,"1,36 kg",HP 240,340.0,42.27,"0,9 GHz",1.0,Raptor Lake-U,DDR4,Windows 11 Professional,SSD,12 MB,"4,6 GHz","21,5 cm","32,4 cm",memoria compartida,10.0,10.0,intel,Intel Core i5,700.0,2657.0,1000.0,1.000 GB,True,Intel Iris Xe Graphics,"USB-C, altavoces estéreo",16.0,16 GB RAM,core i5,intel,14373.0,1070.0,Intel Core i5-1335U,Intel,,"Bluetooth, wifi",1.0,1.0,Laptop,HP,697.985
,,Gigabit-LAN,,90 Wh,,,,16:10,2024.0,con tapa,1.0,integrada,,29 mm,"45,72 cm",18 pulgadas,18.0,,5.3,Bluetooth 5.3,3.3,"3,3 kg",Acer Predator,,,,,,,,SSD,,,"31,2 cm","40,4 cm",,,,,,,,,,,,"USB-C, altavoces estéreo, webcam",,,,,,,,,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,Acer,3901.075
,,,,42 Wh,,,,16:9,2021.0,con tapa,1.0,integrada,IEEE 802.11ax,19 mm,"39,62 cm","15,6 pulgadas",15.6,,5.0,Bluetooth 5.0,1.54,"1,54 kg",ASUS ExpertBook,,,,,,,,,,,"23,7 cm","35,8 cm",,,,,,,,,,,,"lector de tarjetas, webcam",,,,,,,,,Portátil multimedia,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,ASUS,1133.63
1.920 x 1.080 píxeles,2073600.0,Gigabit-LAN,64 Bit,41 Wh,63.3,249.0,,16:9,2021.0,con tapa,1.0,0.9 Mpx,IEEE 802.11ac,19 mm,"39,62 cm","15,6 pulgadas",15.6,ninguno,5.0,Bluetooth 5.0,1.69,"1,69 kg",Dell Vostro,309.0,31.62,"0,85 GHz",1.0,Tiger Lake UP3,DDR4,Windows 10 Professional,SSD,2 MB,"2,6 GHz","23,5 cm","35,8 cm",memoria compartida,1.0,1.0,intel,Intel Core i3,119.0,15761.0,256.0,256 GB,True,Intel UHD Graphics,webcam,8.0,8 GB RAM,core i3,intel,9770.0,1374.0,Intel Core i3-1115G4,Intel,Portátil profesional,"LAN, wifi, Bluetooth",1.0,1.0,Laptop,Dell,568.615
2.560 x 1.600 píxeles,4096000.0,,,80 Wh,,,iris,16:10,2023.0,con tapa,1.0,integrada,IEEE 802.11ax,18 mm,"43,942 cm","17,3 pulgadas",17.3,ninguno,5.1,Bluetooth 5.1,1.4,"1,4 kg",LG Gram,480.0,39.09,"2,2 GHz",,Raptor Lake-P,LPDDR5,sin sistema operativo,SSD,18 MB,5 GHz,"25,9 cm","37,9 cm",memoria compartida,12.0,12.0,intel,Intel Core i7,700.0,2657.0,512.0,512 GB,True,Intel Iris Xe Graphics,"USB-C, altavoces estéreo, webcam, lector de tarjetas",16.0,16 GB RAM,core i7,intel,18763.0,844.0,Intel Core i7-1360P,Intel,Portátil multimedia,"Bluetooth, wifi",1.0,1.0,Laptop,LG,1578.13
2.560 x 1.664 píxeles,4259840.0,,,"52,6 Wh",,,,,2024.0,con tapa,1.0,integrada,,11 mm,"34,544 cm","13,6 pulgadas",13.6,ninguno,5.3,Bluetooth 5.3,1.24,"1,24 kg",Apple MacBook Air,,,,1.0,,,macOS Sequoia,SSD,,,"21,5 cm","30,4 cm",memoria compartida,8.0,8.0,apple,,416.0,5523.0,512.0,512 GB,True,Apple M3 Graphics,"micrófono integrado, USB-C, Touchpad multitáctil, altavoces estéreo, Touch ID, webcam, Force Touch Trackpad",16.0,16 GB RAM,m3,apple,41228.0,260.0,Apple M3,Apple,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Apple,1767.9099999999999
,,Gigabit-LAN,,"53,5 Wh",,,,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,23 mm,"39,624 cm","15,6 pulgadas",15.6,,5.3,Bluetooth 5.3,1.98,"1,98 kg",Cyborg,503.0,49.61,,,,DDR5,,SSD,,,25 cm,"35,9 cm",,,,,Intel Core Ultra 7,,,,,,,"USB-C, altavoces estéreo, webcam",,,core ultra 7,intel,24954.0,555.0,Intel Core Ultra 7 155H,Intel,Portátil gaming,"wifi, Bluetooth, LAN",1.0,1.0,Laptop,MSI,1667.8049999999998
1.920 x 1.080 píxeles,2073600.0,,64 Bit,35 Wh,,,iris,16:9,2020.0,con tapa,1.0,0.3 Mpx,IEEE 802.11ac,20 mm,"39,62 cm","15,6 pulgadas",15.6,ninguno,5.0,Bluetooth 5.0,1.9,"1,9 kg",Lenovo IdeaPad,309.0,42.03,"0,9 GHz",1.0,Alder Lake-P,DDR4,Windows 11 Home,SSD,12 MB,"4,4 GHz","25,3 cm","36,2 cm",memoria compartida,10.0,10.0,intel,Intel Core i5,700.0,2657.0,512.0,512 GB,True,Intel Iris Xe Graphics,"lector de tarjetas, webcam",16.0,16 GB RAM,core i5,intel,12988.0,1167.0,Intel Core i5-1235U,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,Lenovo,779.3299999999999
1.920 x 1.080 píxeles,2073600.0,,64 Bit,41 Wh,,,iris,16:9,2024.0,con tapa,1.0,integrada,IEEE 802.11ax,19 mm,"39,624 cm","15,6 pulgadas",15.6,ninguno,5.3,Bluetooth 5.3,1.59,"1,59 kg",,340.0,39.09,"0,9 GHz",1.0,Raptor Lake-U,DDR4,Windows 11 Home,,10 MB,"4,6 GHz","23,6 cm",36 cm,memoria compartida,10.0,10.0,intel,Intel Core i5,700.0,2657.0,1000.0,1.000 GB,True,Intel Iris Xe Graphics,"webcam, altavoces estéreo, USB-C",16.0,16 GB RAM,core i5,intel,13290.0,1141.0,Intel Core i5-1334U,Intel,Portátil multimedia,"wifi, Bluetooth",1.0,1.0,Laptop,HP,599.0
