,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
1817,Radeon HD 8850M,973,1255,,
1818,Radeon HD 8850M / R9 M265X,1139,1164,,
1819,Radeon HD 8870M,1638,989,,
1820,Radeon HD 8870M / R9 M270X / M370X,1799,933,,
1821,Radeon HD 8950,2816,674,,
1822,Radeon HD 8970M,3876,550,27.69,$139.99*
1823,Radeon HD 8990,5214,440,,
1824,Radeon HD HD7850M,1651,985,,
1825,Radeon HD4650,239,1980,1.57,$152.90*
1826,Radeon HD4670,365,1863,,
1827,RADEON HD6370D,320,1905,,
1828,RADEON HD6410D,422,1812,,
1829,RADEON HD6530D,531,1692,,
1830,RADEON HD7450,199,2032,8.95,$22.25*
1831,Radeon HD8530M,490,1736,,
1832,Radeon HD8970M,3368,601,,
1833,Radeon HDG 4670,170,2063,,
1834,RADEON IGP 320,3,2629,,
1835,Radeon IGP 320M,3,2636,,
1836,Radeon IGP 340M,2,2672,,
1837,RADEON IGP 345M,2,2661,,
1838,RADEON IGP 34xM,1,2686,,
1839,RADEON IGP 350M,6,2568,,
1840,Radeon Infoshock 3000,106,2212,,
1841,Radeon Instinct MI25 MxGPU,4403,519,,
1842,Radeon M535DX,749,1430,,
1843,Radeon Pro,2365,754,5.52,$429.00
1844,Radeon Pro 450,2722,692,,
1845,Radeon Pro 455,3112,640,6.93,$449.00*
1846,Radeon Pro 460,3452,597,,
1847,Radeon Pro 465,4537,501,,
1848,Radeon Pro 5300,7125,337,,
1849,Radeon Pro 5300M,5926,389,,
1850,Radeon Pro 5500 XT,7940,308,,
1851,Radeon Pro 5500M,6723,351,,
1852,Radeon Pro 555,3140,636,2.99,"$1,049.00*"
1853,Radeon Pro 560,3475,593,,
1854,Radeon Pro 5600M,9278,268,,
1855,Radeon Pro 560X,3677,571,,
1856,Radeon Pro 570,6336,368,,
1857,Radeon Pro 5700,11582,215,,
1858,Radeon Pro 5700 XT,12557,190,,
1859,Radeon Pro 580,7753,315,,
1860,Radeon Pro 580X,7540,328,,
1861,Radeon Pro Duo,8298,295,2.09,"$3,970.36*"
1862,Radeon PRO Ryzen 5 PRO 6650U,4066,535,,
1863,Radeon PRO Ryzen 7 PRO 6850U,5582,408,,
1864,Radeon Pro SSG,10971,226,4.55,"$2,410.15*"
1865,Radeon Pro V340 MxGPU,2853,669,,
1866,Radeon Pro V520 MxGPU,12257,200,,
1867,Radeon Pro V620 MxGPU,15632,121,,
1868,Radeon PRO V710 MxGPU,13129,173,,
1869,Radeon Pro Vega 16,4809,477,,
1870,Radeon Pro Vega 20,5039,459,,
1871,Radeon Pro Vega 48,11289,223,,
1872,Radeon Pro Vega 56,12353,193,,
1873,Radeon Pro Vega 64,12890,181,,
1874,Radeon Pro Vega 64X,13369,168,,
1875,Radeon Pro Vega II,15596,122,,
1876,Radeon Pro Vega II Duo,14018,152,,
1877,Radeon Pro VII,13081,176,,
1878,Radeon Pro W5500,8969,277,21.88,$409.99*
1879,Radeon Pro W5500M,3469,594,,
1880,Radeon Pro W5500X,7350,334,,
1881,Radeon Pro W5700,14556,145,22.39,$649.99*
1882,Radeon PRO W6300,5559,413,,
1883,Radeon PRO W6400,8126,302,,
1884,Radeon PRO W6600,15382,128,,
1885,Radeon PRO W6600M,11287,224,,
1886,Radeon PRO W6600X,13113,174,,
1887,Radeon PRO W6800,19969,69,10.79,"$1,849.99*"
1888,Radeon PRO W7500,13372,167,,
1889,Radeon PRO W7600,16156,112,,
1890,Radeon PRO W7700,23268,46,,
1891,Radeon PRO W7800,27499,25,,
1892,Radeon PRO W7900,28959,17,,
1893,Radeon Pro WX 2100,1869,907,,
1894,Radeon Pro WX 3100,2628,704,,
1895,Radeon Pro WX 3200,2360,756,13.74,$171.87*
1896,Radeon Pro WX 4100,3685,570,7.37,$499.99*
1897,Radeon Pro WX 4130,2055,842,,
1898,Radeon Pro WX 4150,2574,714,4.22,$610.04*
1899,Radeon Pro WX 4170,2732,690,,
1900,Radeon Pro WX 5100,5493,419,15.26,$359.99*
1901,Radeon Pro WX 7100,7795,312,7.44,"$1,047.99*"
1902,Radeon Pro WX 7130,6689,354,,
1903,Radeon Pro WX 8200,13046,177,8.16,"$1,599.39*"
1904,Radeon Pro WX 9100,12285,197,,
1905,Radeon Pro WX Vega M GL,4809,476,,
1906,Radeon R1E,301,1918,,
1907,Radeon R2,249,1970,,
1908,Radeon R2E,208,2020,,
1909,Radeon R3,311,1913,,
1910,Radeon R3E,224,1996,,
1911,Radeon R4,342,1877,0.86,$396.99*
1912,Radeon R4E,487,1740,,
1913,Radeon R5 220,147,2098,1.73,$85.26*
1914,Radeon R5 230,221,2000,2.74,$81.10*
1915,Radeon R5 235,336,1886,5.59,$60.13*
1916,Radeon R5 235 + HD 7560D Dual,743,1436,,
1917,Radeon R5 235 + HD 8570D Dual,737,1445,,
1918,Radeon R5 235X,277,1941,,
1919,Radeon R5 240,550,1662,6.47,$85.00*
1920,Radeon R5 310,331,1891,0.66,$499.00*
1921,Radeon R5 330,520,1703,1.53,$339.99*
1922,Radeon R5 340,935,1280,,
1923,Radeon R5 420,574,1632,14.39,$39.95*
1924,Radeon R5 430,893,1308,15.14,$59.00*
1925,Radeon R5 435,761,1419,,
1926,Radeon R5 A10-9600P 4C+6G,619,1570,,
1927,"Radeon R5 A10-9600P RADEON R5, 10 COMPUTE CORES 4C",703,1477,,
1928,Radeon R5 A10-9620P 4C+6G,731,1448,,
1929,"Radeon R5 A10-9620P RADEON R5, 10 COMPUTE CORES 4C",660,1514,,
1930,Radeon R5 A10-9630P 4C+6G,977,1249,,
1931,"Radeon R5 A10-9630P RADEON R5, 10 COMPUTE CORES 4C",734,1446,,
1932,Radeon R5 A240,576,1628,,
1933,Radeon R5 A6-7480,704,1476,,
1934,Radeon R5 A6-8500P,586,1612,,
1935,"Radeon R5 A6-9400 RADEON R5, 6 COMPUTE CORES 2C+4G",605,1589,,
1936,Radeon R5 A6-9500 2C+6G,853,1333,,
1937,"Radeon R5 A6-9500 RADEON R5, 8 COMPUTE CORES 2C+6G",928,1287,,
1938,Radeon R5 A6-9500E 2C+4G,1014,1225,,
1939,"Radeon R5 A6-9500E RADEON R5, 6 COMPUTE CORES 2C+4",692,1484,,
1940,Radeon R5 M230,418,1816,,
1941,Radeon R5 M240,467,1767,,
1942,Radeon R5 M255,544,1675,,
1943,Radeon R5 M315,478,1749,,
1944,Radeon R5 M320,467,1766,,
1945,Radeon R5 M330,595,1596,,
1946,Radeon R5 M335,548,1666,,
1947,Radeon R5 M420,505,1722,,
1948,Radeon R5 M430,648,1531,,
1949,Radeon R5 M435,852,1337,,
1950,Radeon R5 Opteron X3216,415,1819,,
1951,Radeon R5 PRO A10-8730B 4C+6G,695,1482,,
1952,"Radeon R5 PRO A10-8730B R5, 10 COMPUTE CORES 4C+6G",602,1590,,
1953,Radeon R5 PRO A6-8500B 2C+4G,508,1718,,
1954,"Radeon R5 PRO A6-8500B R5, 6 Compute Cores 2C+4G",478,1748,,
1955,Radeon R5 PRO A6-8530B 2C+4G,689,1487,,
1956,"Radeon R5 PRO A6-8530B R5, 6 COMPUTE CORES 2C+4G",463,1773,,
1957,Radeon R5 PRO A6-8570 2C+6G,847,1339,,
1958,"Radeon R5 PRO A6-8570 R5, 8 COMPUTE CORES 2C+6G",949,1266,,
1959,Radeon R5 PRO A6-8570E 2C+4G,637,1544,,
1960,"Radeon R5 PRO A6-8570E R5, 6 COMPUTE CORES 2C+4G",662,1513,,
1961,Radeon R5 PRO A6-9500 2C+6G,1096,1183,,
1962,"Radeon R5 PRO A6-9500 R5, 8 COMPUTE CORES 2C+6G",793,1387,,
1963,Radeon R5 PRO A6-9500B 2C+4G,693,1483,,
1964,"Radeon R5 PRO A6-9500B R5, 6 COMPUTE CORES 2C+4G",408,1822,,
1965,Radeon R5 PRO A6-9500E 2C+4G,770,1409,,
1966,Radeon R5 PRO A8-9600B 4C+6G,658,1517,,
1967,"Radeon R5 PRO A8-9600B R5, 10 COMPUTE CORES 4C+6G",574,1634,,
1968,Radeon R5E,315,1911,,
1969,Radeon R6,615,1575,,
1970,Radeon R6 + R7 M265DX Dual,570,1638,,
1971,Radeon R6 A10-8700P,546,1670,,
1972,Radeon R6 A10-9600P 4C+6G,970,1258,,
1973,Radeon R6 A8-8600P,474,1757,,
1974,Radeon R6 M255DX,605,1588,,
1975,Radeon R6 Opteron X3418,955,1263,,
1976,Radeon R6 PRO A10-8700B 4C+6G,538,1681,,
1977,"Radeon R6 PRO A10-8700B R6, 10 Compute Cores 4C+6G",543,1677,,
1978,Radeon R6 PRO A8-8600B 4C+6G,531,1691,,
1979,"Radeon R6 PRO A8-8600B R6, 10 Compute Cores 4C+6G",613,1578,,
1980,Radeon R7 + HD 7700 Dual,1962,878,,
1981,Radeon R7 + R5 330 Dual,1028,1220,,
1982,Radeon R7 + R5 340 Dual,1234,1125,,
1983,Radeon R7 + R5 435 Dual A10-9700 RADEON,885,1312,,
1984,Radeon R7 + R5 Dual,897,1307,,
1985,Radeon R7 + R7 200 Dual,1077,1194,,
1986,Radeon R7 + R7 240 Dual,1045,1212,,
1987,Radeon R7 + R7 250 Dual,1232,1126,,
1988,Radeon R7 + R7 350 Dual,1982,868,,
1989,Radeon R7 +8G,1190,1143,,
1990,Radeon R7 240,899,1305,10.64,$84.56*
1991,Radeon R7 240 + HD 8570D Dual,917,1291,,
1992,Radeon R7 240 + HD 8670D Dual,930,1286,,
1993,Radeon R7 250,1048,1210,10.49,$99.99*
1994,Radeon R7 250X,2268,786,11.7,$194.00*
1995,Radeon R7 260,2891,667,32.13,$89.99*
1996,Radeon R7 260X,3189,628,22.79,$139.99*
1997,Radeon R7 340,1000,1235,,
1998,Radeon R7 360,3135,638,21.47,$145.99*
1999,Radeon R7 370,4494,506,,
2000,Radeon R7 430,1091,1186,7.25,$150.58*
2001,Radeon R7 450,1892,899,6.33,$299.00*
2002,Radeon R7 7850A10-7850K,551,1660,,
2003,Radeon R7 A10 Extreme Edition,821,1362,,
2004,Radeon R7 A10 PRO-7800B,757,1422,,
2005,Radeon R7 A10 PRO-7850B,822,1360,,
2006,Radeon R7 A10-7700K,792,1389,,
2007,Radeon R7 A10-7800,728,1450,,
2008,Radeon R7 A10-7850K,945,1271,,
2009,Radeon R7 A10-7860K,908,1298,,
2010,Radeon R7 A10-7870K,1094,1184,,
2011,Radeon R7 A10-7890K,972,1256,,
2012,Radeon R7 A10-8750,856,1329,,
2013,Radeon R7 A10-8850,773,1406,,
2014,Radeon R7 A10-9700 RADEON,917,1290,,
2015,Radeon R7 A10-9700E RADEON,872,1319,,
2016,Radeon R7 A12-9700P RADEON,710,1468,1.63,$435.92*
2017,Radeon R7 A12-9720P RADEON,724,1454,1.98,$365.48*
2018,Radeon R7 A12-9730P RADEON,1014,1224,,
2019,Radeon R7 A12-9800 RADEON,1066,1198,,
2020,Radeon R7 A12-9800E RADEON,913,1293,6.56,$139.19*
2021,Radeon R7 A265,993,1244,,
2022,Radeon R7 A360,607,1585,,
2023,Radeon R7 A365,781,1393,,
2024,Radeon R7 A370,1281,1109,,
2025,Radeon R7 A8 PRO-7600B,666,1509,,
2026,Radeon R7 A8-7500,860,1327,,
2027,Radeon R7 A8-7500 4C+6G,853,1334,,
2028,Radeon R7 A8-7600,776,1396,,
2029,Radeon R7 A8-7650K,747,1431,,
2030,Radeon R7 A8-7670K,846,1341,,
2031,Radeon R7 A8-7680,819,1365,,
2032,Radeon R7 A8-8650,912,1294,,
2033,Radeon R7 A8-9600 RADEON,835,1348,,
2034,Radeon R7 FX-8800P,815,1370,,
2035,Radeon R7 FX-9800P RADEON,775,1400,1.46,$530.00*
2036,Radeon R7 FX-9830P RADEON,1394,1076,,
2037,Radeon R7 G,869,1321,,
2038,Radeon R7 M260,519,1705,0.65,$799.00*
2039,Radeon R7 M260DX,816,1368,,
2040,Radeon R7 M260X,994,1243,,
2041,Radeon R7 M265,536,1682,,
2042,Radeon R7 M265DX,498,1728,,
2043,Radeon R7 M270,766,1414,,
2044,Radeon R7 M340,650,1530,,
2045,Radeon R7 M350,1167,1152,,
2046,Radeon R7 M360,582,1616,,
2047,Radeon R7 M365X,794,1386,,
2048,Radeon R7 M370,1417,1073,,
2049,Radeon R7 M380,1668,976,,
2050,Radeon R7 M440,899,1306,,
2051,Radeon R7 M445,938,1277,1.26,$744.00*
2052,Radeon R7 M460,1057,1204,,
2053,Radeon R7 M465,1135,1166,,
2054,Radeon R7 M465X,1786,936,,
2055,Radeon R7 Opteron X3421,1135,1165,,
2056,Radeon R7 PRO A10-8750B,776,1398,,
2057,Radeon R7 PRO A10-8770,917,1292,,
2058,Radeon R7 PRO A10-8770E,804,1378,,
2059,Radeon R7 PRO A10-8850B,945,1272,,
2060,Radeon R7 PRO A10-9700,809,1376,,
2061,Radeon R7 PRO A10-9700B,628,1558,,
2062,Radeon R7 PRO A10-9700E,934,1281,1.77,$529.00*
2063,Radeon R7 PRO A12-8800B,619,1569,,
2064,Radeon R7 PRO A12-8830B,581,1619,,
2065,Radeon R7 PRO A12-8870,931,1283,,
2066,Radeon R7 PRO A12-8870E,892,1309,,
2067,Radeon R7 PRO A12-9800,975,1252,,
2068,Radeon R7 PRO A12-9800B,697,1481,,
2069,Radeon R7 PRO A12-9800E,971,1257,,
2070,Radeon R7 PRO A6-9500 2C+6G,781,1392,,
2071,Radeon R7 PRO A8-8650B,714,1465,,
2072,Radeon R7 PRO A8-8670E,1162,1157,,
2073,Radeon R7 PRO A8-9600,847,1340,,
2074,Radeon R7E,564,1645,,
2075,Radeon R8 M365DX,647,1532,,
2076,Radeon R8 M445DX,796,1382,,
2077,Radeon R8 M535DX,670,1505,,
2078,Radeon R9 255,1435,1061,4.17,$344.16*
2079,Radeon R9 260,3047,646,,
2080,Radeon R9 270,4306,524,,
2081,Radeon R9 270 / R7 370,4259,526,19.98,$213.16*
2082,Radeon R9 270X,4871,473,14.92,$326.50*
2083,Radeon R9 280,5542,415,,
2084,Radeon R9 280X,6124,381,,
2085,Radeon R9 285 / 380,5549,414,11.44,$485.00*
2086,Radeon R9 290,8208,296,,
2087,Radeon R9 290 / 390,8150,301,21.45,$380.00*
2088,Radeon R9 290X,8513,288,,
2089,Radeon R9 290X / 390X,8380,291,26.19,$319.99*
2090,Radeon R9 295X2,8681,284,17.39,$499.10*
2091,Radeon R9 350,1988,867,6.65,$299.00*
2092,Radeon R9 360,3031,648,22.64,$133.89*
2093,Radeon R9 370,4722,489,29.51,$159.99*
2094,Radeon R9 380,6063,384,67.38,$89.99*
2095,Radeon R9 380X,6156,378,17.59,$349.99*
2096,Radeon R9 390,8873,279,,
2097,Radeon R9 390X,9359,267,,
2098,Radeon R9 Fury,9542,258,21.54,$443.10*
2099,Radeon R9 Fury + Fury X,9741,252,21.65,$449.99*
2100,Radeon R9 Fury X,9439,264,,
2101,Radeon R9 M265X,1146,1163,,
2102,Radeon R9 M270X,1204,1139,,
2103,Radeon R9 M275,1114,1173,1.59,$699.99*
2104,Radeon R9 M275X,1699,966,,
2105,Radeon R9 M275X / M375,1574,1015,,
2106,Radeon R9 M280X,813,1371,,
2107,Radeon R9 M290X,3217,622,,
2108,Radeon R9 M295X,5150,447,3.55,"$1,449.00*"
2109,Radeon R9 M360,1842,917,,
2110,Radeon R9 M365X,1481,1052,,
2111,Radeon R9 M370X,1551,1022,1.75,$889.00*
2112,Radeon R9 M375,973,1254,,
2113,Radeon R9 M375X,1715,959,,
2114,Radeon R9 M380,2773,682,,
2115,Radeon R9 M385,2060,839,,
2116,Radeon R9 M385X,1993,864,,
2117,Radeon R9 M390X,3850,553,,
2118,Radeon R9 M395,4915,470,,
2119,Radeon R9 M395X,4974,465,,
2120,Radeon R9 M470,2330,765,,
2121,Radeon R9 M470X,3244,620,,
2122,Radeon R9 M485X,3660,573,,
2123,Radeon RX 460,4092,533,24.53,$166.81*
2124,Radeon RX 470/570,7960,307,20.46,$388.99*
2125,Radeon RX 480,8569,287,25.21,$339.99*
2126,Radeon RX 5300,7587,325,,
2127,Radeon RX 5300M,4723,488,,
2128,Radeon RX 540,2013,853,,
2129,Radeon RX 550,2688,696,15.82,$169.99
2130,Radeon RX 5500,8780,282,,
2131,Radeon RX 5500 XT,9092,273,50.15,$181.29*
2132,Radeon RX 5500M,5791,395,,
2133,Radeon RX 550X,2357,760,,
2134,Radeon RX 560,3659,574,17.95,$203.83
2135,Radeon RX 5600,11725,209,,
2136,Radeon RX 5600 OEM,12842,183,,
2137,Radeon RX 5600 XT,13482,165,24.74,$545.00*
2138,Radeon RX 5600M,8861,280,,
2139,Radeon RX 560X,3168,631,,
2140,Radeon RX 5700,14335,147,46.25,$309.99*
2141,Radeon RX 5700 XT,16336,111,33.45,$488.33*
2142,Radeon RX 5700 XT 50th Anniversary,16418,108,,
2143,Radeon RX 570X,1923,891,12.57,$153.01*
2144,Radeon RX 580,8822,281,55.14,$159.99*
2145,Radeon RX 580 2048SP,7665,319,,
2146,Radeon RX 580X,7536,329,,
2147,Radeon RX 590,9373,265,17.04,$549.99*
2148,Radeon RX 6300,5249,435,,
2149,Radeon RX 6300M,6421,365,,
2150,Radeon RX 640,2145,815,,
2151,Radeon RX 6400,7656,321,36.03,$212.47*
2152,Radeon RX 6500,7502,332,,
2153,Radeon RX 6500 XT,9601,255,53.34,$179.99
2154,Radeon RX 6500M,7534,330,,
2155,Radeon RX 6550M,9772,250,,
2156,Radeon RX 6600,15098,136,55.92,$269.99
2157,Radeon RX 6600 LE,15387,127,,
2158,Radeon RX 6600 XT,16478,106,37.45,$439.99*
2159,Radeon RX 6600M,13933,153,38.65,$360.51*
2160,Radeon RX 6600S,11715,210,,
2161,Radeon RX 6650 XT,17146,96,37.28,$459.99*
2162,Radeon RX 6650M,15018,138,,
2163,Radeon RX 6650M XT,17070,99,,
2164,Radeon RX 6700,19167,82,,
2165,Radeon RX 6700 XT,19809,74,20.99,$943.93*
2166,Radeon RX 6700M,13609,161,50.41,$269.99*
2167,Radeon RX 6700S,15036,137,50.12,$299.99*
2168,Radeon RX 6750 GRE 10GB,18354,88,,
2169,Radeon RX 6750 GRE 12GB,19956,70,,
2170,Radeon RX 6750 XT,20735,63,51.84,$399.99*
2171,Radeon RX 6800,22114,56,26.5,$834.37*
2172,Radeon RX 6800 XT,25004,37,39.07,$639.99*
2173,Radeon RX 6800M,13275,169,,
2174,Radeon RX 6800S,15826,117,,
2175,Radeon RX 6850M,12274,198,,
2176,Radeon RX 6850M XT,17336,94,,
2177,Radeon RX 6900 XT,26746,32,17.72,"$1,509.67*"
2178,Radeon RX 6950 XT,28128,22,28.13,$999.99*
2179,Radeon RX 7600,16605,105,60.39,$274.99
2180,Radeon RX 7600 XT,17139,97,47.61,$359.99
2181,Radeon RX 7600M,11581,216,,
2182,Radeon RX 7600M XT,13154,172,,
2183,Radeon RX 7600S,15428,126,,
2184,Radeon RX 7650 GRE,16992,101,,
2185,Radeon RX 7700 XT,22468,53,47.81,$469.99
2186,Radeon RX 7700S,15343,130,,
2187,Radeon RX 780,7657,320,,
2188,Radeon RX 7800 XT,24244,41,43.77,$553.87
2189,Radeon RX 7800M,17029,100,,
2190,Radeon RX 7900 GRE,27053,28,50.1,$539.99*
2191,Radeon RX 7900 XT,28938,18,41.34,$699.99
2192,Radeon RX 7900 XTX,31169,12,27.15,"$1,148.25"
2193,Radeon RX 7900M,23033,47,,
2194,Radeon RX 9070,24975,39,32.86,$759.99
2195,Radeon RX 9070 XT,26904,31,31.28,$859.99
2196,Radeon RX Vega - Renoir Ryzen 3 5300U,2312,770,,
2197,Radeon RX Vega 10,1631,991,,
2198,Radeon RX Vega 10 Ryzen 7 3700C,1166,1154,,
2199,Radeon RX Vega 10 Ryzen 7 3700U,1485,1049,,
2200,Radeon RX Vega 10 Ryzen 7 3750H,1883,902,,
2201,Radeon RX Vega 10 Ryzen 7 PRO 3700U w/,1503,1041,,
2202,Radeon RX Vega 11,2105,828,2.1,"$1,002.00*"
2203,Radeon RX Vega 11 PRD,2401,745,,
2204,Radeon RX Vega 11 Processor,1766,942,,
2205,Radeon RX Vega 11 Ryzen 5 3350G,1957,883,,
2206,Radeon RX Vega 11 Ryzen 5 3400G,2159,808,,
2207,Radeon RX Vega 11 Ryzen 5 3400GE,1941,888,,
2208,Radeon RX Vega 56,13082,175,17.37,$752.99*
2209,Radeon RX Vega 6 Ryzen 3 3200U,906,1300,,
2210,Radeon RX Vega 64,14095,151,18.79,$749.99*
2211,Radeon RX Vega 8,1527,1033,,
2212,Radeon RX Vega M GH,6587,359,,
2213,Radeon RX Vega M GL,3867,552,,
2214,Radeon RX Vega Ryzen 3 5300U,2329,766,,
2215,Radeon RX Vega Ryzen 5 5600GT,9558,256,,
2216,Radeon RX Vega Ryzen 7 5825U,2916,664,,
2217,Radeon RX Vega11,1605,1003,,
2218,Radeon RX Vega11 Ryzen 7 3750H,1711,963,,
2219,Radeon RX Vega11 Ryzen 7 Microsoft Surface Edition,1420,1070,,
2220,Radeon RX590 GME,8442,290,,
2221,Radeon Ryzen 3 3250U,806,1377,,
2222,Radeon Ryzen 3 5300U,1611,1000,,
2223,Radeon Ryzen 3 5425U,1531,1031,,
2224,Radeon Ryzen 3 7330U,1645,986,,
2225,Radeon Ryzen 3 7335U,2158,809,,
2226,Radeon Ryzen 3 PRO 4355GE,1431,1066,,
2227,Radeon Ryzen 3 PRO 5355GE,1951,885,,
2228,Radeon Ryzen 3 PRO 5450U,1710,964,,
2229,Radeon Ryzen 3 PRO 5475U,1541,1028,,
2230,Radeon Ryzen 3 PRO 7330U,1832,922,,
2231,Radeon Ryzen 3 PRO 7335U,1992,865,,
2232,Radeon Ryzen 5 3450U,1114,1174,,
2233,Radeon Ryzen 5 3550H,1730,952,,
2234,Radeon Ryzen 5 4600GE with Radeon Graphics,2249,793,,
2235,Radeon Ryzen 5 5500GT,2499,729,,
2236,Radeon Ryzen 5 5500U,2043,845,,
2237,Radeon Ryzen 5 5560U,2031,849,,
2238,Radeon Ryzen 5 5600GE,2472,734,,
2239,Radeon Ryzen 5 5600GT,2424,740,,
2240,Radeon Ryzen 5 5600H,2423,742,,
2241,Radeon Ryzen 5 5600U,2098,830,,
2242,Radeon Ryzen 5 5625U,2120,823,,
2243,Radeon Ryzen 5 6600H,3463,596,,
2244,Radeon Ryzen 5 6600HS Creator Edition,3766,560,,
2245,Radeon Ryzen 5 6600U,3293,613,,
2246,Radeon Ryzen 5 7430U,2555,719,,
2247,Radeon Ryzen 5 7530U,2230,795,,
2248,Radeon Ryzen 5 7533HS,3523,587,,
2249,Radeon Ryzen 5 7535HS,3092,641,,
2250,Radeon Ryzen 5 7535U,3173,630,,
2251,Radeon Ryzen 5 7600 6-Core,1737,948,,
2252,Radeon Ryzen 5 7600X 6-Core,1698,968,,
2253,Radeon Ryzen 5 7600X3D 6-Core,1869,906,,
2254,Radeon Ryzen 5 Microsoft Surface Edition,2050,843,,
2255,Radeon Ryzen 5 PRO 4400G,2276,780,,
2256,Radeon Ryzen 5 PRO 4655G,2283,777,,
2257,Radeon Ryzen 5 PRO 4655GE,2361,755,,
2258,Radeon Ryzen 5 PRO 5650G,2282,778,,
2259,Radeon Ryzen 5 PRO 5650GE,2316,769,,
2260,Radeon Ryzen 5 PRO 5655G,2567,716,,
2261,Radeon Ryzen 5 PRO 5655GE,1801,932,,
2262,Radeon Ryzen 5 PRO 5675U,1915,893,,
2263,Radeon Ryzen 5 PRO 6650H,2678,699,,
2264,Radeon Ryzen 5 PRO 6650U,3658,575,,
2265,Radeon Ryzen 5 Pro 7535U,2997,651,,
2266,Radeon Ryzen 5 PRO 7645 6-Core,1488,1048,,
2267,Radeon Ryzen 7 3700U,1301,1103,,
2268,Radeon Ryzen 7 4700G,2583,712,,
2269,Radeon Ryzen 7 4700GE,2595,708,,
2270,Radeon Ryzen 7 4700U,2035,847,,
2271,Radeon Ryzen 7 4800H,3308,611,,
2272,Radeon Ryzen 7 4800HS,3208,624,,
2273,Radeon Ryzen 7 4800U,2320,768,,
2274,Radeon Ryzen 7 5700U,2259,790,,
2275,Radeon Ryzen 7 5800H,2820,673,,
2276,Radeon Ryzen 7 5800HS,2539,723,,
2277,Radeon Ryzen 7 5800U,2403,744,,
2278,Radeon Ryzen 7 5825U,2392,746,,
2279,Radeon Ryzen 7 6800H,4989,463,,
2280,Radeon Ryzen 7 6800HS,6025,385,,
2281,Radeon Ryzen 7 6800HS Creator Edition,5362,425,,
2282,Radeon Ryzen 7 6800U,4540,500,,
2283,Radeon Ryzen 7 6810U,5937,388,,
2284,Radeon Ryzen 7 7700 8-Core,1782,938,,
2285,Radeon Ryzen 7 7700X 8-Core,1981,869,,
2286,Radeon Ryzen 7 7730U,2424,741,,
2287,Radeon Ryzen 7 7735H,5334,429,,
2288,Radeon Ryzen 7 7735HS,5053,458,,
2289,Radeon Ryzen 7 7735U,4743,486,,
2290,Radeon Ryzen 7 7736U,5818,392,,
2291,Radeon Ryzen 7 7800X3D 8-Core,1787,935,,
2292,Radeon Ryzen 7 Microsoft Surface Edition,2275,781,,
2293,Radeon Ryzen 7 PRO 4750G,2496,730,,
2294,Radeon Ryzen 7 PRO 4750GE,2379,751,,
2295,Radeon Ryzen 7 PRO 4750U,2021,852,,
2296,Radeon Ryzen 7 PRO 5755GE,2117,824,,
2297,Radeon Ryzen 7 PRO 5875U,2146,813,,
2298,Radeon Ryzen 7 PRO 6850H,5366,424,,
2299,Radeon Ryzen 7 PRO 6850HS,5057,457,,
2300,Radeon Ryzen 7 PRO 6850U,5107,453,,
2301,Radeon Ryzen 7 PRO 6860Z,4558,497,,
2302,Radeon Ryzen 7 PRO 7730U,2294,776,,
2303,Radeon Ryzen 7 Pro 7735U,3899,547,,
2304,Radeon Ryzen 7 PRO 7745 8-Core,1653,982,,
2305,Radeon Ryzen 9 4900H,2599,707,,
2306,Radeon Ryzen 9 4950U Mobile,2594,709,,
2307,Radeon Ryzen 9 5900H,2960,657,,
2308,Radeon Ryzen 9 6900HS,6602,358,,
2309,Radeon Ryzen 9 6900HS Creator Edition,5155,446,,
2310,Radeon Ryzen 9 7900 12-Core,1999,858,,
2311,Radeon Ryzen 9 7900X 12-Core,2300,773,,
2312,Radeon Ryzen 9 7900X3D 12-Core,1774,939,,
2313,Radeon Ryzen 9 7950X 16-Core,3313,610,,
2314,Radeon Ryzen 9 7950X3D 16-Core,1657,980,,
2315,Radeon Ryzen 9 PRO 6950H,5768,397,,
2316,Radeon Ryzen 9 PRO 6950HS,4427,516,,
2317,Radeon Ryzen 9 PRO 7945 12-Core,1626,993,,
2318,Radeon Ryzen Embedded R2312,853,1331,,
2319,Radeon Ryzen Embedded R2314,997,1239,,
2320,Radeon Ryzen Embedded R2514,1581,1011,,
2321,Radeon Ryzen Embedded R2544,1864,911,,
2322,Radeon Ryzen Embedded V2516,1723,955,,
2323,Radeon Ryzen Embedded V2546,1435,1063,,
2324,Radeon Ryzen Embedded V2718,1998,859,,
2325,Radeon Ryzen Embedded V2748,2216,800,,
2326,Radeon Ryzen Z2 Go,4989,462,,
2327,Radeon Sky 500,4709,490,,
2328,Radeon TM,5605,405,,
2329,Radeon TM R9 A360,2060,840,,
2330,Radeon VE,2,2678,,
2331,Radeon Vega 10,1544,1025,,
2332,Radeon Vega 10 Mobile,1528,1032,,
2333,Radeon Vega 10 Ryzen 7 PRO 3700U w/,1580,1012,,
2334,Radeon Vega 11,1862,912,,
2335,Radeon Vega 11 Ryzen 5 PRO 3350G,2185,806,,
2336,Radeon Vega 11 Ryzen 5 PRO 3400G,2007,856,,
2337,Radeon Vega 11 Ryzen 5 PRO 3400GE w/,1397,1075,,
2338,Radeon Vega 2,506,1721,,
