,Videocard Name,Passmark G3D Mark (higher is better),Rank (lower is better),Videocard Value (higher is better),Price (USD)
1457,RADEON HD 6350,140,2116,2.39,$59.00*
1458,Radeon HD 6370D,255,1967,,
1459,Radeon HD 6370M,275,1942,,
1460,Radeon HD 6380G,200,2029,0.5,$399.99*
1461,Radeon HD 6410D,236,1983,,
1462,Radeon HD 6430M,192,2040,,
1463,Radeon HD 6450,197,2035,2.22,$89.00*
1464,Radeon HD 6450 + 8470D Dual,762,1418,,
1465,Radeon HD 6450A,260,1959,,
1466,Radeon HD 6470M,225,1994,0.4,$569.99*
1467,Radeon HD 6480G,256,1965,,
1468,Radeon HD 6480M,353,1871,,
1469,Radeon HD 6490M,377,1847,0.32,"$1,193.03*"
1470,Radeon HD 6520G,299,1919,,
1471,Radeon HD 6530D,337,1885,,
1472,Radeon HD 6550A,707,1469,,
1473,Radeon HD 6550D,400,1833,,
1474,Radeon HD 6570,558,1650,8.6,$64.99*
1475,Radeon HD 6610M,565,1644,,
1476,Radeon HD 6620G,341,1879,,
1477,Radeon HD 6630M,684,1491,,
1478,Radeon HD 6650A,835,1347,,
1479,Radeon HD 6650M,755,1425,,
1480,Radeon HD 6670,727,1452,10.54,$68.99*
1481,Radeon HD 6670 + 6670 Dual,646,1534,,
1482,Radeon HD 6670 + 7660D Dual,1492,1046,,
1483,Radeon HD 6670/7670,945,1269,,
1484,Radeon HD 6700M,1016,1223,,
1485,Radeon HD 6750,1036,1216,12.96,$79.99*
1486,Radeon HD 6750M,937,1278,,
1487,Radeon HD 6770,1261,1114,4.76,$264.99*
1488,Radeon HD 6770M,964,1260,,
1489,Radeon HD 6790,1548,1023,5.27,$294.00*
1490,Radeon HD 6800M,772,1407,,
1491,Radeon HD 6850,1947,887,9.42,$206.87
1492,Radeon HD 6850 X2,2534,724,,
1493,Radeon HD 6870,2208,801,8.58,$257.33
1494,Radeon HD 6900M,1701,965,,
1495,Radeon HD 6950,2592,711,18.52,$139.99*
1496,Radeon HD 6970,2840,670,18.94,$149.99*
1497,Radeon HD 6970M,2270,784,10.51,$215.99*
1498,Radeon HD 6990,3013,650,6.05,$498.49*
1499,Radeon HD 7290,111,2201,,
1500,Radeon HD 7290M,123,2164,,
1501,Radeon HD 7310,128,2151,,
1502,Radeon HD 7310 - Carte graphique,174,2058,,
1503,Radeon HD 7310G,180,2047,,
1504,Radeon HD 7310M,166,2074,,
1505,Radeon HD 7340,153,2087,0.28,$552.69*
1506,Radeon HD 7340G,196,2036,,
1507,Radeon HD 7340M,221,2002,,
1508,Radeon HD 7350,165,2077,,
1509,Radeon HD 7400G,267,1951,,
1510,Radeon HD 7420G,305,1917,,
1511,Radeon HD 7450,223,1997,4.48,$49.99*
1512,Radeon HD 7450A,288,1929,,
1513,Radeon HD 7450M,329,1894,,
1514,Radeon HD 7470,289,1928,3.55,$81.37*
1515,Radeon HD 7470M,407,1823,,
1516,Radeon HD 7480D,281,1939,,
1517,Radeon HD 7500G,310,1915,,
1518,Radeon HD 7500G + 7500M/7600M Dual,616,1573,,
1519,Radeon HD 7500G + 7550M Dual,497,1731,,
1520,Radeon HD 7500G + HD 7500M/7600M Dual,355,1870,,
1521,Radeon HD 7520G,313,1912,,
1522,Radeon HD 7520G + 7400M Dual,486,1741,,
1523,Radeon HD 7520G + 7470M Dual,542,1679,,
1524,Radeon HD 7520G + 7500/7600 Dual,582,1617,,
1525,Radeon HD 7520G + 7600M Dual,591,1602,,
1526,Radeon HD 7520G + 7610M Dual,588,1606,,
1527,Radeon HD 7520G + 7650M Dual,453,1785,,
1528,Radeon HD 7520G + 7670M Dual,523,1701,,
1529,Radeon HD 7520G + 7700M Dual,1060,1201,,
1530,Radeon HD 7520G + 8600/8700M Dual,311,1914,,
1531,Radeon HD 7520G + 8750M Dual,376,1849,,
1532,Radeon HD 7520G + HD 7400M Dual,544,1674,,
1533,Radeon HD 7520G + HD 7500/7600 Dual,832,1351,,
1534,Radeon HD 7520G + HD 7600M Dual,447,1793,,
1535,Radeon HD 7520G + HD 7670M Dual,495,1733,,
1536,Radeon HD 7520G + HD 7700M Dual,574,1630,,
1537,Radeon HD 7520G + HD 8600/8700M Dual,623,1563,,
1538,Radeon HD 7520G + HD 8750M Dual,651,1526,,
1539,Radeon HD 7520G N HD 7520G + HD 7500/7600 7500/760,574,1633,,
1540,Radeon HD 7520G N HD 7520G + HD 7600M N HD 7600M D,364,1865,,
1541,Radeon HD 7540D,333,1889,,
1542,Radeon HD 7540D + 6570 Dual,719,1460,,
1543,Radeon HD 7540D + 7500 Dual,821,1363,,
1544,Radeon HD 7540D + HD 6450 Dual,643,1538,,
1545,Radeon HD 7550M,464,1771,,
1546,Radeon HD 7550M/7650M,728,1449,,
1547,Radeon HD 7560D,453,1782,,
1548,Radeon HD 7560D + 6450 Dual,568,1640,,
1549,Radeon HD 7560D + 6570 Dual,833,1350,,
1550,Radeon HD 7560D + 6670 Dual,1130,1168,,
1551,Radeon HD 7560D + 7560D Dual,982,1248,,
1552,Radeon HD 7560D + 7570 Dual,985,1246,,
1553,Radeon HD 7560D + 7670 Dual,1426,1068,,
1554,Radeon HD 7560D + 7700 Dual,1919,892,,
1555,Radeon HD 7560D + HD 6570 Dual,1237,1123,,
1556,Radeon HD 7560D + HD 6670 Dual,1554,1021,,
1557,Radeon HD 7560D + HD 7000 Dual,534,1685,,
1558,Radeon HD 7560D + HD 7600 Dual,1258,1118,,
1559,Radeon HD 7560D + HD 7670 Dual,1380,1078,,
1560,Radeon HD 7560D + HD 7700 Dual,1346,1088,,
1561,Radeon HD 7560D + HD 8570 Dual,935,1279,,
1562,Radeon HD 7560D + R5 235 Dual,563,1646,,
1563,Radeon HD 7570,612,1580,5.98,$102.49*
1564,Radeon HD 7570M,427,1807,,
1565,Radeon HD 7570M/HD 7670M,699,1480,,
1566,Radeon HD 7580D,350,1874,,
1567,Radeon HD 7600G,332,1890,,
1568,Radeon HD 7600G + 6400M Dual,376,1850,,
1569,Radeon HD 7600G + 7450M Dual,389,1837,,
1570,Radeon HD 7600G + 7500M/7600M Dual,405,1827,,
1571,Radeon HD 7600G + 7550M Dual,423,1811,,
1572,Radeon HD 7600G + 8500M/8700M Dual,333,1888,,
1573,Radeon HD 7600G + HD 7400M Dual,328,1895,,
1574,Radeon HD 7600G + HD 7500M/7600M Dual,476,1753,,
1575,Radeon HD 7600G + HD 7550M Dual,509,1714,,
1576,Radeon HD 7600G + HD 8670M Dual,543,1676,,
1577,Radeon HD 7600G + HD Dual,435,1802,,
1578,Radeon HD 7600G N HD 7600G + HD ON HD Dual,526,1695,,
1579,Radeon HD 7600M + 7600M Dual,773,1403,,
1580,Radeon HD 7610M,632,1552,,
1581,Radeon HD 7620G,364,1866,,
1582,Radeon HD 7620G + 8600M Dual,508,1716,,
1583,Radeon HD 7620G + 8670M Dual,577,1625,,
1584,Radeon HD 7620G + HD 8600M Dual,442,1797,,
1585,Radeon HD 7620G + HD 8670M Dual,507,1719,,
1586,Radeon HD 7620G N HD 7620G + HD 8600M N HD 8600M D,451,1789,,
1587,Radeon HD 7640G,456,1779,,
1588,Radeon HD 7640G + 6400M Dual,526,1694,,
1589,Radeon HD 7640G + 7400M Dual,637,1545,,
1590,Radeon HD 7640G + 7450M Dual,754,1427,,
1591,Radeon HD 7640G + 7470M Dual,595,1597,,
1592,Radeon HD 7640G + 7500/7600 Dual,627,1561,,
1593,Radeon HD 7640G + 7500M/7600M Dual,775,1399,,
1594,Radeon HD 7640G + 7600M Dual,705,1471,,
1595,Radeon HD 7640G + 7610M Dual,510,1713,,
1596,Radeon HD 7640G + 7650M Dual,747,1432,,
1597,Radeon HD 7640G + 7670M Dual,644,1537,,
1598,Radeon HD 7640G + 7690M Dual,945,1270,,
1599,Radeon HD 7640G + 7700M Dual,690,1486,,
1600,Radeon HD 7640G + 8500M Dual,585,1613,,
1601,Radeon HD 7640G + 8570M Dual,558,1653,,
1602,Radeon HD 7640G + 8600/8700M Dual,688,1488,,
1603,Radeon HD 7640G + 8600M Dual,249,1971,,
1604,Radeon HD 7640G + 8670M Dual,558,1652,,
1605,Radeon HD 7640G + 8750M Dual,654,1521,,
1606,Radeon HD 7640G + HD 7400M Dual,576,1627,,
1607,Radeon HD 7640G + HD 7500/7600 Dual,423,1810,,
1608,Radeon HD 7640G + HD 7600M Dual,704,1475,,
1609,Radeon HD 7640G + HD 7600M N HD 7600M Dual,406,1826,,
1610,Radeon HD 7640G + HD 7670M Dual,518,1706,,
1611,Radeon HD 7640G + HD 7700M Dual,589,1603,,
1612,Radeon HD 7640G + HD 7700M N HD 7700M Dual,630,1554,,
1613,Radeon HD 7640G + HD 8500M Dual,607,1586,,
1614,Radeon HD 7640G + HD 8500M N HD 8500M Dual,665,1510,,
1615,Radeon HD 7640G + HD 8570M Dual,474,1759,,
1616,Radeon HD 7640G + HD 8600/8700M Dual,586,1610,,
1617,Radeon HD 7640G + HD 8670M Dual,677,1499,,
1618,Radeon HD 7640G + HD 8750M Dual,996,1240,,
1619,Radeon HD 7640G + R5 M200 Dual,559,1648,,
1620,Radeon HD 7640G N HD 7640G + HD 7600M N HD 7600M D,824,1359,,
1621,Radeon HD 7640G N HD 7640G + HD 7670M Dual,679,1497,,
1622,Radeon HD 7640G N HD 7640G + HD 8570M Dual,422,1813,,
1623,Radeon HD 7650A,567,1642,2.17,$262.00*
1624,Radeon HD 7650M,441,1798,,
1625,Radeon HD 7660D,509,1715,,
1626,Radeon HD 7660D + 6570 Dual,1100,1179,,
1627,Radeon HD 7660D + 6670 Dual,1238,1121,,
1628,Radeon HD 7660D + 7470 Dual,465,1770,,
1629,Radeon HD 7660D + 7500 Dual,1121,1172,,
1630,Radeon HD 7660D + 7540D Dual,1204,1138,,
1631,Radeon HD 7660D + 7670 Dual,1061,1200,,
1632,Radeon HD 7660D + HD 6670 Dual,1484,1050,,
1633,Radeon HD 7660D + HD 7000 Dual,633,1551,,
1634,Radeon HD 7660D + HD 7400 Dual,339,1882,,
